Significant Joint Probabilities with State Descriptions:
  State: VisitAsia: Visit, Tuberculosis: Present, Smoking: Smoking, Lung Cancer: Present, Bronchitis: Present, Tb_or_Ca: True, XRay: Abnormal, Dyspnea: True, Probability: 0.0000132300
  State: VisitAsia: Visit, Tuberculosis: Present, Smoking: Smoking, Lung Cancer: Present, Bronchitis: Present, Tb_or_Ca: True, XRay: Abnormal, Dyspnea: False, Probability: 0.0000014700
  State: VisitAsia: Visit, Tuberculosis: Present, Smoking: Smoking, Lung Cancer: Present, Bronchitis: Present, Tb_or_Ca: True, XRay: Normal, Dyspnea: True, Probability: 0.0000002700
  State: VisitAsia: Visit, Tuberculosis: Present, Smoking: Smoking, Lung Cancer: Present, Bronchitis: Present, Tb_or_Ca: True, XRay: Normal, Dyspnea: False, Probability: 0.0000000300
  State: VisitAsia: Visit, Tuberculosis: Present, Smoking: Smoking, Lung Cancer: Present, Bronchitis: Absent, Tb_or_Ca: True, XRay: Abnormal, Dyspnea: True, Probability: 0.0000068600
  State: VisitAsia: Visit, Tuberculosis: Present, Smoking: Smoking, Lung Cancer: Present, Bronchitis: Absent, Tb_or_Ca: True, XRay: Abnormal, Dyspnea: False, Probability: 0.0000029400
  State: VisitAsia: Visit, Tuberculosis: Present, Smoking: Smoking, Lung Cancer: Present, Bronchitis: Absent, Tb_or_Ca: True, XRay: Normal, Dyspnea: True, Probability: 0.0000001400
  State: VisitAsia: Visit, Tuberculosis: Present, Smoking: Smoking, Lung Cancer: Present, Bronchitis: Absent, Tb_or_Ca: True, XRay: Normal, Dyspnea: False, Probability: 0.0000000600
  State: VisitAsia: Visit, Tuberculosis: Present, Smoking: Smoking, Lung Cancer: Absent, Bronchitis: Present, Tb_or_Ca: True, XRay: Abnormal, Dyspnea: True, Probability: 0.0001190700
  State: VisitAsia: Visit, Tuberculosis: Present, Smoking: Smoking, Lung Cancer: Absent, Bronchitis: Present, Tb_or_Ca: True, XRay: Abnormal, Dyspnea: False, Probability: 0.0000132300
  State: VisitAsia: Visit, Tuberculosis: Present, Smoking: Smoking, Lung Cancer: Absent, Bronchitis: Present, Tb_or_Ca: True, XRay: Normal, Dyspnea: True, Probability: 0.0000024300
  State: VisitAsia: Visit, Tuberculosis: Present, Smoking: Smoking, Lung Cancer: Absent, Bronchitis: Present, Tb_or_Ca: True, XRay: Normal, Dyspnea: False, Probability: 0.0000002700
  State: VisitAsia: Visit, Tuberculosis: Present, Smoking: Smoking, Lung Cancer: Absent, Bronchitis: Absent, Tb_or_Ca: True, XRay: Abnormal, Dyspnea: True, Probability: 0.0000617400
  State: VisitAsia: Visit, Tuberculosis: Present, Smoking: Smoking, Lung Cancer: Absent, Bronchitis: Absent, Tb_or_Ca: True, XRay: Abnormal, Dyspnea: False, Probability: 0.0000264600
  State: VisitAsia: Visit, Tuberculosis: Present, Smoking: Smoking, Lung Cancer: Absent, Bronchitis: Absent, Tb_or_Ca: True, XRay: Normal, Dyspnea: True, Probability: 0.0000012600
  State: VisitAsia: Visit, Tuberculosis: Present, Smoking: Smoking, Lung Cancer: Absent, Bronchitis: Absent, Tb_or_Ca: True, XRay: Normal, Dyspnea: False, Probability: 0.0000005400
  State: VisitAsia: Visit, Tuberculosis: Present, Smoking: NoSmoking, Lung Cancer: Present, Bronchitis: Present, Tb_or_Ca: True, XRay: Abnormal, Dyspnea: True, Probability: 0.0000006615
  State: VisitAsia: Visit, Tuberculosis: Present, Smoking: NoSmoking, Lung Cancer: Present, Bronchitis: Present, Tb_or_Ca: True, XRay: Abnormal, Dyspnea: False, Probability: 0.0000000735
  State: VisitAsia: Visit, Tuberculosis: Present, Smoking: NoSmoking, Lung Cancer: Present, Bronchitis: Present, Tb_or_Ca: True, XRay: Normal, Dyspnea: True, Probability: 0.0000000135
  State: VisitAsia: Visit, Tuberculosis: Present, Smoking: NoSmoking, Lung Cancer: Present, Bronchitis: Present, Tb_or_Ca: True, XRay: Normal, Dyspnea: False, Probability: 0.0000000015
  State: VisitAsia: Visit, Tuberculosis: Present, Smoking: NoSmoking, Lung Cancer: Present, Bronchitis: Absent, Tb_or_Ca: True, XRay: Abnormal, Dyspnea: True, Probability: 0.0000012005
  State: VisitAsia: Visit, Tuberculosis: Present, Smoking: NoSmoking, Lung Cancer: Present, Bronchitis: Absent, Tb_or_Ca: True, XRay: Abnormal, Dyspnea: False, Probability: 0.0000005145
  State: VisitAsia: Visit, Tuberculosis: Present, Smoking: NoSmoking, Lung Cancer: Present, Bronchitis: Absent, Tb_or_Ca: True, XRay: Normal, Dyspnea: True, Probability: 0.0000000245
  State: VisitAsia: Visit, Tuberculosis: Present, Smoking: NoSmoking, Lung Cancer: Present, Bronchitis: Absent, Tb_or_Ca: True, XRay: Normal, Dyspnea: False, Probability: 0.0000000105
  State: VisitAsia: Visit, Tuberculosis: Present, Smoking: NoSmoking, Lung Cancer: Absent, Bronchitis: Present, Tb_or_Ca: True, XRay: Abnormal, Dyspnea: True, Probability: 0.0000654885
  State: VisitAsia: Visit, Tuberculosis: Present, Smoking: NoSmoking, Lung Cancer: Absent, Bronchitis: Present, Tb_or_Ca: True, XRay: Abnormal, Dyspnea: False, Probability: 0.0000072765
  State: VisitAsia: Visit, Tuberculosis: Present, Smoking: NoSmoking, Lung Cancer: Absent, Bronchitis: Present, Tb_or_Ca: True, XRay: Normal, Dyspnea: True, Probability: 0.0000013365
  State: VisitAsia: Visit, Tuberculosis: Present, Smoking: NoSmoking, Lung Cancer: Absent, Bronchitis: Present, Tb_or_Ca: True, XRay: Normal, Dyspnea: False, Probability: 0.0000001485
  State: VisitAsia: Visit, Tuberculosis: Present, Smoking: NoSmoking, Lung Cancer: Absent, Bronchitis: Absent, Tb_or_Ca: True, XRay: Abnormal, Dyspnea: True, Probability: 0.0001188495
  State: VisitAsia: Visit, Tuberculosis: Present, Smoking: NoSmoking, Lung Cancer: Absent, Bronchitis: Absent, Tb_or_Ca: True, XRay: Abnormal, Dyspnea: False, Probability: 0.0000509355
  State: VisitAsia: Visit, Tuberculosis: Present, Smoking: NoSmoking, Lung Cancer: Absent, Bronchitis: Absent, Tb_or_Ca: True, XRay: Normal, Dyspnea: True, Probability: 0.0000024255
  State: VisitAsia: Visit, Tuberculosis: Present, Smoking: NoSmoking, Lung Cancer: Absent, Bronchitis: Absent, Tb_or_Ca: True, XRay: Normal, Dyspnea: False, Probability: 0.0000010395
  State: VisitAsia: Visit, Tuberculosis: Absent, Smoking: Smoking, Lung Cancer: Present, Bronchitis: Present, Tb_or_Ca: True, XRay: Abnormal, Dyspnea: True, Probability: 0.0002513700
  State: VisitAsia: Visit, Tuberculosis: Absent, Smoking: Smoking, Lung Cancer: Present, Bronchitis: Present, Tb_or_Ca: True, XRay: Abnormal, Dyspnea: False, Probability: 0.0000279300
  State: VisitAsia: Visit, Tuberculosis: Absent, Smoking: Smoking, Lung Cancer: Present, Bronchitis: Present, Tb_or_Ca: True, XRay: Normal, Dyspnea: True, Probability: 0.0000051300
